date,tvl_usd
2023-06-09 00:00:00,3578746
2023-06-10 00:00:00,3545393
2023-06-11 00:00:00,3495056
2023-06-12 00:00:00,3468420
2023-06-13 00:00:00,3321824
2023-06-14 00:00:00,3311013
2023-06-15 00:00:00,3312639
2023-06-16 00:00:00,3363218
2023-06-17 00:00:00,3449652
2023-06-18 00:00:00,3456379
2023-06-19 00:00:00,3459557
2023-06-20 00:00:00,3343706
2023-06-21 00:00:00,3231313
2023-06-22 00:00:00,3271606
2023-06-23 00:00:00,3257585
2023-06-24 00:00:00,3277395
2023-06-25 00:00:00,3203137
2023-06-26 00:00:00,3233112
2023-06-27 00:00:00,3304769
2023-06-28 00:00:00,3266184
2023-06-29 00:00:00,3296681
2023-06-30 00:00:00,3308754
2023-07-01 00:00:00,3397471
2023-07-02 00:00:00,3359952
2023-07-03 00:00:00,3384971
2023-07-04 00:00:00,3092030
2023-07-05 00:00:00,3178052
2023-07-06 00:00:00,3152538
2023-07-07 00:00:00,3168164
2023-07-08 00:00:00,3260666
2023-07-09 00:00:00,3204794
2023-07-10 00:00:00,2796077
2023-07-11 00:00:00,2796251
2023-07-12 00:00:00,2818522
2023-07-13 00:00:00,2857999
2023-07-14 00:00:00,3087583
2023-07-15 00:00:00,3217260
2023-07-16 00:00:00,3204251
2023-07-17 00:00:00,3188197
2023-07-18 00:00:00,3126040
2023-07-19 00:00:00,3156723
2023-07-20 00:00:00,3344757
2023-07-21 00:00:00,3362256
2023-07-22 00:00:00,3375671
2023-07-23 00:00:00,3409513
2023-07-24 00:00:00,3305620
2023-07-25 00:00:00,3334362
2023-07-26 00:00:00,3016982
2023-07-27 00:00:00,3039223
2023-07-28 00:00:00,3033549
2023-07-29 00:00:00,3089461
2023-07-30 00:00:00,3163954
2023-07-31 00:00:00,3178095
2023-08-01 00:00:00,3134645
2023-08-02 00:00:00,3142173
2023-08-03 00:00:00,3157057
2023-08-04 00:00:00,3182419
2023-08-05 00:00:00,3225000
2023-08-06 00:00:00,3158003
2023-08-07 00:00:00,3252921
2023-08-08 00:00:00,3622235
2023-08-09 00:00:00,4115304
2023-08-10 00:00:00,4189426
2023-08-11 00:00:00,4160353
2023-08-12 00:00:00,3781962
2023-08-13 00:00:00,3718263
2023-08-14 00:00:00,3713104
2023-08-15 00:00:00,3740719
2023-08-16 00:00:00,3876210
2023-08-17 00:00:00,4535202
2023-08-18 00:00:00,4633720
2023-08-19 00:00:00,5122197
2023-08-20 00:00:00,5291474
2023-08-21 00:00:00,5160640
2023-08-22 00:00:00,7811915
2023-08-23 00:00:00,8366660
2023-08-24 00:00:00,8798754
2023-08-25 00:00:00,8884351
2023-08-26 00:00:00,8977209
2023-08-27 00:00:00,9194699
2023-08-28 00:00:00,9253999
2023-08-29 00:00:00,9263652
2023-08-30 00:00:00,8604902
2023-08-31 00:00:00,8282637
2023-09-01 00:00:00,8393922
2023-09-02 00:00:00,8441250
2023-09-03 00:00:00,8995532
2023-09-04 00:00:00,9819430
2023-09-05 00:00:00,10289266
2023-09-06 00:00:00,10031033
2023-09-07 00:00:00,10568812
2023-09-08 00:00:00,10851289
2023-09-09 00:00:00,11014308
2023-09-10 00:00:00,11200053
2023-09-11 00:00:00,11307735
2023-09-12 00:00:00,11484199
2023-09-13 00:00:00,11319763
2023-09-14 00:00:00,12171111
2023-09-15 00:00:00,12545355
2023-09-16 00:00:00,12696042
2023-09-17 00:00:00,12841197
2023-09-18 00:00:00,12908283
2023-09-19 00:00:00,12780927
2023-09-20 00:00:00,12630312
2023-09-21 00:00:00,12099461
2023-09-22 00:00:00,12213787
2023-09-23 00:00:00,12106080
2023-09-24 00:00:00,12079665
2023-09-25 00:00:00,11902983
2023-09-26 00:00:00,11846669
2023-09-27 00:00:00,11917971
2023-09-28 00:00:00,11381443
2023-09-29 00:00:00,11363484
2023-09-30 00:00:00,11447347
2023-10-01 00:00:00,11458224
2023-10-02 00:00:00,11346943
2023-10-03 00:00:00,11265922
2023-10-04 00:00:00,11322242
2023-10-05 00:00:00,11510648
2023-10-06 00:00:00,11378750
2023-10-07 00:00:00,11369661
2023-10-08 00:00:00,11311227
2023-10-09 00:00:00,11852956
2023-10-10 00:00:00,11842104
2023-10-11 00:00:00,12021577
2023-10-12 00:00:00,12296494
2023-10-13 00:00:00,12289293
2023-10-14 00:00:00,12551439
2023-10-15 00:00:00,12646005
2023-10-16 00:00:00,12777375
2023-10-17 00:00:00,12881665
